,id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop,rounded_datetime,rain,temperature_2m,apparent_temperature,relativehumidity_2m,cloudcover,windspeed_10m,is_day
15602,491634,12/8/2022,quinta-feira,22:45:00,SC,101.0,388.5,CRICIUMA,Reação tardia ou ineficiente do condutor,Colisão traseira,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Múltipla,Reta,Não,2,0,1,0,1,0,1,2,-28.78529329,-49.33739925,SPRF-SC,DEL02-SC,UOP02-DEL02-SC,08/12/2022 23:00:00,0.0,22.5,25.3,87.0,29.0,8.4,0.0
52511,479278,10/7/2022,sexta-feira,20:00:00,CE,20.0,83.0,TAUA,Reação tardia ou ineficiente do condutor,Colisão frontal,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Simples,Reta,Sim,3,0,1,0,2,0,1,2,-6.00760337,-40.28674757,SPRF-CE,DEL02-CE,UOP02-DEL02-CE,07/10/2022 20:00:00,0.0,29.4,29.4,38.0,1.0,8.7,0.0
5788,449458,5/12/2022,quinta-feira,15:50:00,SC,282.0,195.5,LAGES,Acessar a via sem observar a presença dos outros veículos,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Desvio Temporário,Não,3,0,1,0,2,0,1,2,-27.746756,-50.084789,SPRF-SC,DEL05-SC,UOP01-DEL05-SC,12/05/2022 16:00:00,0.0,16.2,14.8,58.0,2.0,5.8,1.0
30051,444913,2/11/2022,sexta-feira,4:30:00,CE,20.0,374.0,CAUCAIA,Deficiência do Sistema de Iluminação/Sinalização,Colisão traseira,Com Vítimas Feridas,Amanhecer,Decrescente,Céu Claro,Dupla,Reta,Não,2,0,1,0,0,1,1,2,-3.96120396,-38.88113804,SPRF-CE,DEL01-CE,UOP01-DEL01-CE,11/02/2022 05:00:00,0.0,23.2,27.8,95.0,46.0,3.3,0.0
45925,469088,8/19/2022,sexta-feira,18:00:00,SC,101.0,273.0,IMBITUBA,Acumulo de areia ou detritos sobre o pavimento,Colisão transversal,Com Vítimas Feridas,Anoitecer,Decrescente,Céu Claro,Dupla,Viaduto,Sim,3,0,1,0,2,0,1,2,-28.12382408,-48.69625015,SPRF-SC,DEL02-SC,UOP03-DEL02-SC,19/08/2022 18:00:00,0.0,12.2,8.4,55.0,0.0,15.1,0.0
34569,451789,5/21/2022,sábado,1:50:00,SC,,,FLORIANOPOLIS,Modificação proibida,Colisão lateral mesmo sentido,Sem Vítimas,Plena Noite,Não Informado,Nublado,Dupla,Reta,Sim,5,0,0,0,5,0,0,2,-27.60967769,-48.5374099,SPRF-SC,DEL01-SC,UOP01-DEL01-SC,21/05/2022 02:00:00,0.0,10.8,10.1,93.0,0.0,4.6,0.0
22246,415437,2/17/2022,quinta-feira,9:20:00,SC,101.0,197.0,BIGUACU,Condutor deixou de manter distância do veículo da frente,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Múltipla,Reta,Sim,3,0,3,0,0,0,3,2,-27.51844497,-48.63848496,SPRF-SC,DEL01-SC,UOP01-DEL01-SC,17/02/2022 09:00:00,0.0,24.7,27.0,68.0,17.0,5.8,1.0
17917,407557,1/8/2022,sábado,13:00:00,MG,251.0,303.8,SALINAS,Reação tardia ou ineficiente do condutor,Saída de leito carroçável,Com Vítimas Fatais,Pleno dia,Crescente,Nublado,Simples,Curva,Não,6,1,2,2,1,0,4,1,-16.13553034,-42.26204273,SPRF-MG,DEL11-MG,UOP02-DEL11-MG,08/01/2022 13:00:00,0.3,25.8,29.4,80.0,100.0,9.0,1.0
47216,471015,8/29/2022,segunda-feira,7:30:00,RJ,40.0,100.0,DUQUE DE CAXIAS,Pista Escorregadia,Capotamento,Com Vítimas Feridas,Pleno dia,Decrescente,Garoa/Chuvisco,Simples,Curva,Não,2,0,1,0,1,0,1,1,-22.601599,-43.28062982,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ,29/08/2022 08:00:00,1.3,17.4,17.8,93.0,100.0,12.2,1.0
4996,446119,4/23/2022,sábado,3:30:00,MG,251.0,210.0,CACHOEIRA DE PAJEU,Reação tardia ou ineficiente do condutor,Saída de leito carroçável,Sem Vítimas,Plena Noite,Decrescente,Céu Claro,Simples,Não Informado,Não,2,0,0,0,2,0,0,1,-15.889854,-41.527858,SPRF-MG,DEL11-MG,UOP02-DEL11-MG,23/04/2022 04:00:00,0.0,18.7,20.4,96.0,96.0,8.3,0.0
