,id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop,rounded_datetime,rain,temperature_2m,apparent_temperature,relativehumidity_2m,cloudcover,windspeed_10m,is_day
55774,483944,10/30/2022,domingo,16:00:00,MG,40.0,656.5,CRISTIANO OTONI,Chuva,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Dupla,Não Informado,Não,2,0,2,0,0,0,2,1,-20.87261896,-43.79985605,SPRF-MG,DEL05-MG,UOP02-DEL05-MG,30/10/2022 16:00:00,0.4,22.2,25.0,80.0,49.0,2.2,1.0
55791,483966,10/30/2022,domingo,19:50:00,PR,376.0,176.0,MARINGA,Chuva,Colisão traseira,Com Vítimas Feridas,Plena Noite,Decrescente,Chuva,Múltipla,Reta,Sim,2,0,1,0,1,0,1,2,-23.41269173,-51.93158327,SPRF-PR,DEL09-PR,UOP01-DEL09-PR,30/10/2022 20:00:00,0.1,24.4,27.7,80.0,33.0,5.8,0.0
55795,483976,10/30/2022,domingo,18:53:00,MG,262.0,580.0,CAMPOS ALTOS,Chuva,Saída de leito carroçável,Sem Vítimas,Plena Noite,Crescente,Chuva,Dupla,Curva,Não,1,0,0,0,1,0,0,1,-19.6646721,-46.06563103,SPRF-MG,DEL08-MG,UOP02-DEL08-MG,30/10/2022 19:00:00,0.0,21.6,24.1,85.0,56.0,5.8,0.0
55798,483979,10/30/2022,domingo,20:40:00,RS,471.0,174.9,RIO PARDO,Chuva,Saída de leito carroçável,Com Vítimas Feridas,Plena Noite,Decrescente,Chuva,Simples,Rotatória,Sim,2,0,0,2,0,0,2,1,-29.98972038,-52.36824274,SPRF-RS,DEL02-RS,UOP03-DEL02-RS,30/10/2022 21:00:00,0.8,23.6,26.7,83.0,70.0,6.7,0.0
55809,483991,10/30/2022,domingo,20:40:00,SC,280.0,38.8,ARAQUARI,Chuva,Saída de leito carroçável,Com Vítimas Feridas,Plena Noite,Decrescente,Chuva,Simples,Reta,Não,1,0,1,0,0,0,1,1,-26.44572892,-48.81862707,SPRF-SC,DEL03-SC,UOP03-DEL03-SC,30/10/2022 21:00:00,0.0,25.9,31.2,87.0,59.0,4.1,0.0
55819,484003,10/30/2022,domingo,23:00:00,SC,101.0,138.6,BALNEARIO CAMBORIU,Chuva,Capotamento,Sem Vítimas,Plena Noite,Crescente,Chuva,Dupla,Curva,Sim,1,0,0,0,1,0,0,1,-27.0280887,-48.60600471,SPRF-SC,DEL04-SC,UOP03-DEL04-SC,30/10/2022 23:00:00,0.1,24.1,28.6,92.0,60.0,5.4,0.0
55828,484018,10/30/2022,domingo,19:40:00,MG,40.0,510.1,RIBEIRAO DAS NEVES,Chuva,Tombamento,Sem Vítimas,Plena Noite,Decrescente,Chuva,Dupla,Não Informado,Sim,1,0,0,0,0,1,0,1,-19.77657479,-44.12158912,SPRF-MG,DEL01-MG,UOP02-DEL01-MG,30/10/2022 20:00:00,0.6,23.1,25.3,72.0,68.0,4.5,0.0
55875,484081,10/31/2022,segunda-feira,8:30:00,MG,381.0,921.4,CAMANDUCAIA,Chuva,Capotamento,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Dupla,Não Informado,Não,4,0,4,0,0,0,4,1,-22.7680939,-46.20854399,SPRF-MG,DEL16-MG,UOP03-DEL16-MG,31/10/2022 09:00:00,0.1,24.4,26.2,71.0,100.0,11.5,1.0
55878,484084,10/31/2022,segunda-feira,8:30:00,PR,153.0,468.8,PORTO VITORIA,Chuva,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Simples,Curva,Não,1,0,1,0,0,0,1,1,-26.35157492,-51.25259399,SPRF-PR,DEL02-PR,UOP03-DEL02-PR,31/10/2022 09:00:00,0.4,20.0,22.2,89.0,100.0,5.9,1.0
55883,484093,10/31/2022,segunda-feira,11:00:00,MG,381.0,835.6,SAO SEBASTIAO DA BELA VISTA,Chuva,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Dupla,Reta,Não,1,0,1,0,0,0,1,1,-22.17094703,-45.83750295,SPRF-MG,DEL16-MG,UOP01-DEL16-MG,31/10/2022 11:00:00,0.1,26.1,29.3,70.0,81.0,8.7,1.0
