,Nome da Estação,Ano,Latitude,Longitude,UF
115,OBIDOS,25.4,-1.91,-55.52,PA
116,PALMAS,23.2,-10.19,-48.3,TO
117,PALMEIRA DOS INDIOS,22.0,-9.42,-36.62,AL
118,PARACATU,20.4,-17.24,-46.88,MG
119,PARANAGUA,20.7,-25.54,-48.53,PR
120,PARANAIBA,20.8,-19.66,-51.19,MS
121,PARNAIBA,24.4,-3.09,-41.78,PI
122,PASSO FUNDO,15.7,-28.23,-52.41,RS
123,PATOS DE MINAS,18.6,-18.52,-46.44,MG
124,PAULISTANA,21.7,-8.13,-41.14,PI
125,PEDRA AZUL,19.9,-16.01,-41.28,MG
126,PEDRO AFONSO,23.9,-8.97,-48.18,TO
127,PEIXE,22.8,-12.02,-48.55,TO
128,PELOTAS,17.0,-31.78,-52.42,RS
129,PETROLINA,21.2,-9.39,-40.52,PE
130,PIRAPORA,21.3,-17.35,-44.92,MG
131,PIRENOPOLIS,20.0,-15.85,-48.97,GO
132,PIRIPIRI,23.4,-4.28,-41.79,PI
133,POMPEU,19.5,-19.23,-45.0,MG
134,PORTO ALEGRE,18.0,-30.05,-51.17,RS
135,PORTO DE MOZ,25.8,-1.75,-52.24,PA
136,PORTO DE PEDRAS,24.0,-9.16,-35.3,AL
137,PORTO NACIONAL,23.5,-10.71,-48.41,TO
138,POSSE,20.0,-14.09,-46.37,GO
139,QUIXERAMOBIM,23.1,-5.17,-39.29,CE
140,RECIFE (CURADO),23.6,-8.06,-34.96,PE
141,REMANSO,22.1,-9.63,-42.08,BA
142,RESENDE,19.5,-22.45,-44.44,RJ
143,RIO GRANDE,16.7,-32.08,-52.17,RS
144,SALINAS,20.9,-16.15,-42.28,MG
145,SALVADOR (ONDINA),23.6,-13.01,-38.51,BA
146,SANTA MARIA,17.7,-29.72,-53.72,RS
147,SANTA VITORIA DO PALMAR,15.8,-33.53,-53.35,RS
148,SANTO ANTONIO DE PADUA,21.9,-21.54,-42.16,RJ
149,SAO CARLOS,18.1,-21.98,-47.88,SP
150,SAO JOAO DO PIAUI,22.0,-8.37,-42.25,PI
151,SAO JOAQUIM,12.5,-28.28,-49.93,SC
152,SAO LOURENCO,17.6,-22.13,-45.04,MG
153,SAO LUIS,25.2,-2.53,-44.21,MA
154,SAO LUIZ GONZAGA,18.1,-28.42,-54.96,RS
155,SAO MATEUS,22.6,-18.71,-39.85,ES
156,SAO PAULO(MIR.de SANTANA),17.7,-23.5,-46.62,SP
157,SAO SIMAO,19.7,-21.46,-47.58,SP
158,SERRINHA,21.4,-11.67,-39.0,BA
159,SETE LAGOAS,18.6,-19.48,-44.17,MG
160,SOBRAL,23.2,-3.75,-40.35,CE
161,SOURE,25.6,-0.73,-48.52,PA
162,SURUBIM,21.4,-7.84,-35.8,PE
163,TAGUATINGA,21.1,-12.4,-46.44,TO
164,TEOFILO OTONI,20.9,-17.86,-41.51,MG
165,TERESINA,24.2,-5.03,-42.8,PI
166,TORRES,18.4,-29.35,-49.72,RS
167,TRACUATEUA,25.3,-1.06,-46.87,PA
168,TUCURUI,25.8,-3.76,-49.67,PA
169,TURIACU,25.3,-1.66,-45.37,MA
170,UBERABA,19.2,-19.74,-47.95,MG
171,UNAI,20.8,-16.37,-46.89,MG
172,URUGUAIANA,17.3,-29.84,-57.08,RS
173,VALE DO GURGUEIA (CRISTIANO CASTRO),22.4,-8.44,-43.87,PI
174,VICOSA,18.7,-20.76,-42.86,MG
175,VITORIA,22.3,-20.32,-40.32,ES
176,VITORIA DA CONQUISTA,18.6,-14.89,-40.8,BA
177,VOTUPORANGA,20.4,-20.44,-49.98,SP
178,ZE DOCA,24.7,-3.27,-45.65,MA
